movie_id,user_id,rating
tt0111161,hitchcockthelegend,10
tt0111161,Sleepin_Dragon,10
tt0111161,EyeDunno,10
tt0111161,alexkolokotronis,10
tt0111161,kaspen12,10
tt0111161,TheLittleSongbird,10
tt0111161,Coxer99,10
tt0111161,baumer,10
tt0111161,nowego,10
tt0111161,gavin6942,10
tt0111161,Leofwine_draca,10
tt0111161,auuwws,10
tt0111161,MrHeraclius,
tt0111161,classicsoncall,10
tt0111161,schnad,10
tt0111161,reismark,10
tt0111161,speedreid,
tt0111161,weswalker,10
tt0111161,bkoganbing,9
tt0111161,Michael_Elliott,
tt0111161,lee_eisenberg,10
tt0111161,KissEnglishPasto,10
tt0111161,blairgallop7,10
tt0111161,JamesHitchcock,9
tt0111161,edwagreen,10
tt0068646,CalRhys,
tt0068646,andrewburgereviews,10
tt0068646,Sleepin_Dragon,10
tt0068646,gogoschka-1,10
tt0068646,alexkolokotronis,10
tt0068646,MrHeraclius,
tt0068646,b-a-h TNT-6,10
tt0068646,planktonrules,10
tt0068646,mattrochman,10
tt0068646,TheLittleSongbird,10
tt0068646,SJ_1,10
tt0068646,mm-39,10
tt0068646,DaveDiggler,10
tt0068646,nathanmanson,7
tt0068646,ks4,9
tt0068646,eric262003,10
tt0068646,ironhorse_iv,10
tt0068646,Leofwine_draca,10
tt0068646,JamesHitchcock,8
tt0068646,danielfeerst,10
tt0068646,bkoganbing,10
tt0068646,The-Other-Monkey,10
tt0068646,Coxer99,10
tt0068646,cardsrock,10
tt0068646,vjeet_a,10
tt0468569,MrHeraclius,
tt0468569,Smells_Like_Cheese,10
tt0468569,dseferaj,10
tt0468569,littlemartinarocena,9
tt0468569,filmquestint,10
tt0468569,Aegontheconqueror,10
tt0468569,kosmasp,10
tt0468569,johnnymacbest,10
tt0468569,melwinbauer,10
tt0468569,redbullrex,9
tt0468569,AlsExGal,10
tt0468569,LoneWolfAndCub,10
tt0468569,Bonnell7,
tt0468569,classicsoncall,10
tt0468569,the-movie-guy,10
tt0468569,SnoopyStyle,9
tt0468569,iamanoob0,9
tt0468569,springsunnywinter,10
tt0468569,guerillagorilla,10
tt0468569,LennyRenquist,10
tt0468569,RayCharles81,10
tt0468569,sjvkarki,10
